"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"133","Derrick White","Bos","G","28.7","71","28.1","17.4","10.8","162","0.877","319","0.545","325","0.375","0.554","0.598","12.1","3.4","3.9","0.7","0.9","1.1","15.5","15.9","19.3","7.7","124.3","107.9"
"134","Desmond Bane","Mem","G","24.7","47","31.2","26.2","11.5","167","0.892","428","0.516","329","0.404","0.555","0.596","21.1","5.1","4.3","0.9","0.4","2.1","26.2","25.4","30.5","9.9","118.2","106"
"135","Devin Booker","Pho","G","26.4","43","34.5","32","11","263","0.84","623","0.544","262","0.366","0.546","0.593","27.6","4.5","5.6","0.9","0.4","2.5","32.1","33.2","37.7","10.3","118.5","109.2"
"136","Devin Vassell","San","G-F","22.6","35","31.1","24.5","8.8","95","0.789","306","0.477","244","0.385","0.522","0.548","18.5","3.9","3.6","1.1","0.4","1.5","22.5","22.1","26","8.2","110.4","118.7"
"137","Devon Dotson","Was","G","23.6","6","8.9","9.9","25","0","0","6","0","3","0.333","0.167","0.167","0.5","1.7","1.3","0.8","0","0.5","2.2","1.8","3.5","4.6","86.3","97.8"
"138","Devonte' Graham","Nor","G","28.1","53","15.3","15","10.5","59","0.746","41","0.463","190","0.347","0.511","0.545","5.3","1.4","2.2","0.6","0.2","0.5","6.6","7.5","8.8","6.6","118.2","111.8"
"139","Devonte' Graham","San","G","28.1","13","28.2","21","10.3","50","0.8","39","0.462","108","0.389","0.551","0.598","15.5","2.8","4.6","0.7","0.4","1.3","18.3","20.2","22.9","8.3","124.3","119.1"
"140","Dewayne Dedmon","Mia","C","33.6","30","11.7","21.1","12.8","44","0.727","92","0.576","37","0.297","0.539","0.576","5.7","3.6","0.5","0.2","0.5","0.6","9.3","6.2","9.9","7.4","113.4","94.2"
"141","Dewayne Dedmon","Phi","C","33.6","2","5.6","15.5","0","2","0","3","1","0","0","1","0.773","3","2","1","0.5","0","0","5","4","6","13","156.6","77.1"
"142","Dillon Brooks","Mem","G-F","27.2","63","30.5","21.9","9.6","133","0.789","494","0.441","375","0.317","0.456","0.484","14.3","3.3","2.5","0.9","0.2","1.5","17.5","16.8","20.1","6.4","100.6","105"
"143","Domantas Sabonis","Sac","F-C","26.9","67","34.7","21.3","20","367","0.766","721","0.634","75","0.36","0.625","0.666","19","12.6","7.1","0.8","0.5","3","31.6","26.2","38.7","13.8","131.9","104.8"
"144","Dominick Barlow","San","F","19.8","17","11.7","12","19.1","13","0.769","38","0.579","4","0","0.524","0.566","3.2","2.7","0.6","0.3","0.4","0.6","5.9","3.8","6.5","5.9","114.3","107"
"145","Donovan Mitchell","Cle","G","26.5","61","35.5","31.7","11.5","314","0.876","667","0.564","569","0.376","0.564","0.607","27.4","4.1","4.6","1.5","0.4","2.6","31.5","32","36.1","9","117.8","106.7"
"146","Donte DiVincenzo","Gol","G","26.1","61","26.7","14.9","15.7","55","0.836","139","0.489","328","0.402","0.57","0.588","9.5","4.4","3.4","1.3","0.2","1.4","13.9","12.9","17.3","7.8","116.9","110.6"
"147","Dorian Finney-Smith","Bro","F","29.9","16","29.2","13","11.4","12","0.75","37","0.459","79","0.278","0.431","0.449","6.8","4.9","1.8","0.8","0.4","0.9","11.8","8.6","13.5","5.4","101","109.7"
"148","Dorian Finney-Smith","Dal","F","29.9","40","32.2","12.8","10.4","40","0.75","93","0.559","217","0.355","0.54","0.557","9.1","4.7","1.5","1","0.5","0.9","13.8","10.6","15.3","5","115.6","113.3"
"149","Doug McDermott","San","F","31.2","59","20.7","18.8","10.8","56","0.714","205","0.512","267","0.427","0.585","0.596","10","2.2","1.5","0.2","0.1","1","12.2","11.5","13.7","6.2","112.7","116.6"
"150","Draymond Green","Gol","F","33","62","31.5","12.9","29.1","96","0.708","285","0.596","109","0.33","0.569","0.591","8.3","7.3","6.8","1","0.8","2.6","15.7","15.1","22.4","9.4","114.9","106.4"
"151","Drew Eubanks","Por","F-C","26.1","68","19.7","11.3","17.6","103","0.66","240","0.692","7","0.429","0.69","0.7","6","5.1","1.2","0.5","1.1","0.8","11.1","7.2","12.3","6.7","135.7","108"
"152","Dru Smith","Mia","G","25.2","5","13.4","9.9","6.7","0","0","8","0.5","6","0.167","0.393","0.393","2.2","1.8","1","0.8","0.6","0.2","4","3.2","5","4.7","94.3","97.4"
"153","Dru Smith","Bro","G","25.2","5","11.3","20.7","3.8","1","1","13","0.692","12","0.333","0.6","0.609","6.2","1.8","2","1","0.2","0.2","8","8.2","10","10","130.4","105.6"
"154","Duane Washington Jr.","Pho","G","23","31","12.7","32.6","11.7","24","0.667","145","0.372","111","0.36","0.445","0.458","7.9","1.2","2","0.2","0.1","1.1","9","9.9","11.1","8.4","93.5","113.5"
"155","Duncan Robinson","Mia","F","28.9","34","16.9","17.6","9.6","25","0.92","38","0.526","159","0.333","0.505","0.534","6.5","1.8","1.1","0.4","0","0.6","8.3","7.7","9.5","5.5","106.6","105.3"
"156","Dwight Powell","Dal","F-C","31.7","66","20","12.6","19.8","160","0.681","234","0.739","5","0","0.724","0.735","6.9","4.4","0.9","0.7","0.4","0.9","11.3","7.8","12.2","6","142.1","103.5"
"157","Dylan Windler","Cle","G-F","26.5","2","4","22.4","25","0","0","1","1","2","0.5","0.833","0.833","2.5","0","0.5","0.5","0","0.5","2.5","3","3","0","118.6","111.8"
"158","Dyson Daniels","Nor","G","20","48","18.8","11.4","22.5","35","0.629","103","0.505","72","0.306","0.486","0.504","4","3.3","2.4","0.8","0.2","1.1","7.3","6.4","9.7","6.7","103.6","106"
"159","Edmond Sumner","Bro","G","27.2","48","14.4","22","15","99","0.929","170","0.506","84","0.357","0.516","0.595","7.4","1.5","1.4","0.6","0.2","0.9","8.9","8.8","10.3","6.9","112.8","106.8"
"160","Eric Gordon","Hou","G","34.2","47","30.2","18.1","14.8","135","0.815","233","0.536","245","0.347","0.528","0.572","13.1","2.1","2.9","0.6","0.4","1.8","15.1","16","18","5.7","112.5","121.6"
"161","Eric Gordon","Lac","G","34.2","11","25.3","16.5","8.4","23","0.783","35","0.514","52","0.404","0.569","0.602","10.6","1.7","2.3","0.7","0.5","0.7","12.4","12.9","14.6","5.5","121.9","112.6"
"162","Eugene Omoruyi","Okc","F","26.1","23","11.8","18.7","14.5","28","0.607","63","0.571","31","0.258","0.511","0.531","4.9","2.3","0.5","0.6","0","0.7","7.2","5.4","7.7","6","105.3","99.4"
"163","Eugene Omoruyi","Det","F","26.1","8","21.1","18.7","7.2","13","0.769","43","0.605","21","0.238","0.523","0.552","9.6","3.3","0.9","0.9","0.1","0.6","12.9","10.5","13.8","5.8","116","106.7"
"164","Evan Fournier","Nyk","G-F","30.4","23","18","18.6","11.2","21","0.857","49","0.408","102","0.324","0.46","0.49","6.8","2","1.5","0.6","0.1","0.8","8.8","8.3","10.3","6.1","102.6","106.4"
"165","Evan Mobley","Cle","C","21.7","71","34.2","20.5","14","282","0.681","757","0.59","95","0.211","0.56","0.587","16.1","8.9","2.7","0.8","1.4","2","25.1","18.9","27.8","8.5","116.3","103.3"
"166","Facundo Campazzo","Dal","G","32","8","6.5","14.6","18.5","2","0.5","2","0","11","0.273","0.346","0.36","1.3","0.3","1.1","0.8","0","0.4","1.5","2.4","2.6","4.6","86.6","110.1"
"167","Frank Jackson","Uta","G","24.9","1","5.1","24.6","0","0","0","2","0","1","0","0","0","0","2","1","0","0","0","2","1","3","0","48.4","119.8"
"168","Frank Kaminsky","Atl","F-C","30","26","6.8","13.9","16.9","12","0.833","21","0.667","23","0.478","0.693","0.72","2.7","1.4","0.8","0.2","0","0.3","4.1","3.5","4.9","8.5","132.2","105.5"
"169","Frank Kaminsky","Hou","F-C","30","7","5.1","14.9","0","4","1","4","0.25","7","0.143","0.227","0.353","1.3","1.3","1","0.1","0.3","0","2.6","2.3","3.6","9.3","110.8","116.8"
"170","Frank Ntilikina","Dal","G","24.6","42","11.6","12.6","20","24","0.667","47","0.489","53","0.208","0.395","0.43","2.3","1.3","1.1","0.3","0.1","0.6","3.5","3.4","4.6","5.1","89.5","108.5"
"171","Franz Wagner","Orl","F","21.6","69","32.9","23.4","13","276","0.833","652","0.543","315","0.371","0.548","0.592","18.7","3.9","3.4","0.9","0.2","2.1","22.6","22.1","26.1","7.6","115.4","111.8"
"172","Fred VanVleet","Tor","G","29.1","58","37","22.8","10.6","230","0.896","423","0.454","510","0.349","0.492","0.543","19.4","4.2","7","1.7","0.6","1.9","23.6","26.4","30.6","9","117.6","110.3"
"173","Furkan Korkmaz","Phi","G-F","25.7","28","9.7","19.3","18.2","30","0.667","48","0.458","37","0.351","0.488","0.524","3.7","1.1","0.7","0.2","0.1","0.7","4.8","4.4","5.4","5.8","97.7","114.2"
"174","Gabe Vincent","Mia","G","26.8","57","26.3","17.5","15.1","71","0.887","180","0.511","299","0.328","0.499","0.53","9.5","2.2","2.5","0.9","0.1","1.5","11.7","11.9","14.1","5.7","102.6","106.7"
"175","Garrett Temple","Nor","G-F","36.9","16","7.4","14.8","7.6","4","0.75","16","0.375","20","0.45","0.542","0.556","2.6","0.8","0.6","0.4","0.1","0.2","3.4","3.3","4.1","5.8","117.9","106.7"
"176","Garrison Mathews","Hou","G","26.4","45","13.4","14.3","9.6","45","0.911","15","0.467","155","0.342","0.509","0.564","4.8","1.4","0.5","0.5","0.1","0.4","6.1","5.3","6.6","4.5","116.8","112.9"
"177","Garrison Mathews","Atl","G","26.4","3","2.5","18.4","0","3","0.667","0","0","2","0.5","0.75","0.753","1.7","0.3","0","0","0","0","2","1.7","2","0","",""
"178","Gary Harris","Orl","G","28.5","39","25","12.8","9.3","28","0.893","78","0.513","174","0.425","0.599","0.619","8.4","2.1","1.3","1","0.2","0.7","10.5","9.6","11.7","4.5","121.1","110.4"
"179","Gary Payton II","Por","G","30.3","15","17.1","9.3","22.5","4","1","24","0.625","17","0.529","0.695","0.713","4.1","2.6","1.5","1","0.1","0.8","6.7","5.5","8.1","5.9","127.3","107.7"
"180","Gary Trent Jr.","Tor","G-F","24.2","61","32.6","21.7","5.6","195","0.841","453","0.497","422","0.367","0.523","0.562","17.7","2.6","1.6","1.6","0.2","0.9","20.3","19.3","21.9","5.1","116.4","114"
"181","George Hill","Ind","G","36.9","5","16.2","11.9","17.8","2","1","9","0.667","9","0.556","0.75","0.768","5.8","1.6","1.8","0.8","0.4","0.8","7.4","7.6","9.2","6.3","133.4","115.3"
"182","George Hill","Mil","G","36.9","35","19.1","11.3","16.9","46","0.739","58","0.621","74","0.311","0.534","0.575","5","1.9","2.5","0.5","0.1","0.8","6.9","7.5","9.5","6","120.9","109.4"
"183","Georges Niang","Phi","F","29.8","66","19.3","17.1","9.1","38","0.842","98","0.571","331","0.408","0.603","0.616","8.3","2.4","1","0.4","0.2","0.7","10.7","9.4","11.7","5.6","116.2","107.1"
"184","Giannis Antetokounmpo","Mil","F","28.3","55","32.4","39.1","16.1","700","0.651","979","0.582","155","0.284","0.561","0.599","31.4","11.9","5.5","0.7","0.8","3.9","43.3","36.9","48.8","15.7","116.1","99.7"
"185","Goga Bitadze","Ind","C-F","23.7","21","9.6","15.5","18.7","24","0.458","38","0.605","14","0.286","0.558","0.551","3.3","2.3","0.9","0.4","0.5","0.6","5.6","4.1","6.5","7.9","115.5","102.8"
"186","Goga Bitadze","Orl","C-F","23.7","6","11.6","16.5","8.3","6","0.5","18","0.667","4","0.25","0.614","0.609","5","4.7","1","0.2","0.7","0.3","9.7","6","10.7","9.9","136.3","105.4"
"187","Goran Dragic","Chi","G","36.9","50","15.6","20.9","15.6","41","0.659","170","0.482","128","0.352","0.502","0.516","6.5","1.4","2.8","0.2","0.1","1.1","7.9","9.3","10.7","7.5","104.1","110.6"
"188","Gordon Hayward","Cha","F","33","46","31.5","19.7","14.9","140","0.8","377","0.525","148","0.324","0.514","0.556","14.2","4.3","3.9","0.9","0.3","2","18.5","18.1","22.5","7.9","108.6","115.3"
"189","Gorgui Dieng","San","C","33.2","24","9.8","17.2","21","6","0.833","25","0.6","50","0.24","0.44","0.457","3","2.7","1.4","0.2","0.4","0.8","5.6","4.4","7","9.2","98.2","106.4"
"190","Grant Williams","Bos","F","24.3","68","26.6","12.9","15.3","107","0.804","161","0.528","249","0.398","0.57","0.605","8.1","4.7","1.7","0.6","0.4","1.1","12.8","9.8","14.5","6","117.8","105.5"
"191","Grayson Allen","Mil","G","27.4","64","27.9","14.7","11.9","115","0.904","177","0.52","328","0.405","0.577","0.618","10.7","3.3","2.3","0.8","0.2","1.1","14.1","13.1","16.4","6.2","124.1","109.3"
"192","Greg Brown III","Por","F","21.5","16","5.8","18.4","17.6","12","0.417","21","0.476","7","0.143","0.411","0.421","1.8","1.2","0.2","0.3","0.3","0.4","2.9","1.9","3.1","5.2","79.2","103.6"
"193","Hamidou Diallo","Det","G","24.6","56","17.8","21.8","15.9","148","0.588","354","0.593","21","0.238","0.58","0.593","9.3","3.5","1","0.9","0.3","1.3","12.8","10.3","13.8","7.2","109.5","106.8"
"194","Harrison Barnes","Sac","F","30.8","69","32.9","17","10.3","347","0.847","362","0.558","307","0.368","0.555","0.631","15","4.7","1.6","0.7","0.1","1.1","19.7","16.6","21.3","5.9","125.6","115.7"
"195","Haywood Highsmith","Mia","F","26.3","46","18.9","12.2","15.3","26","0.462","92","0.522","102","0.353","0.526","0.526","4.7","3.6","0.7","0.7","0.3","0.8","8.3","5.4","9","4.8","103.7","105.8"
"196","Herbert Jones","Nor","F","24.4","54","29","14.9","14.4","137","0.745","277","0.538","140","0.293","0.505","0.548","9.7","4","2.3","1.7","0.6","1.3","13.7","12","16","6.2","112.2","104.3"
"197","Immanuel Quickley","Nyk","G","23.8","70","28.5","19.6","9.1","183","0.825","385","0.525","370","0.362","0.534","0.573","13.7","4.2","3.2","0.9","0.2","1.1","17.8","16.9","21","8","121.6","109.5"
"198","Isaac Okoro","Cle","F-G","22.1","73","21.8","12.1","10.6","101","0.752","179","0.62","165","0.358","0.58","0.611","6.5","2.5","1.2","0.8","0.4","0.6","9","7.7","10.2","4.9","123.2","104.6"
"199","Isaiah Hartenstein","Nyk","C-F","24.9","71","19.6","11.3","16.5","58","0.741","248","0.556","36","0.222","0.528","0.554","4.8","6.6","1","0.6","0.8","0.8","11.4","5.8","12.4","6.5","123.1","100.4"
"200","Isaiah Jackson","Ind","F","21.2","52","15.3","17.5","14.6","113","0.655","228","0.588","12","0.167","0.571","0.601","6.7","4","0.8","0.4","1.4","0.8","10.7","7.5","11.6","7.3","120.1","104.8"
"201","Isaiah Joe","Okc","G","23.7","62","18","17.2","6.7","67","0.821","81","0.531","321","0.433","0.626","0.647","9","2.3","1.2","0.6","0.1","0.5","11.3","10.2","12.5","6.5","128.3","110.5"
"202","Isaiah Livers","Det","F","24.6","46","22.4","11.8","9.5","30","0.767","69","0.551","179","0.352","0.534","0.551","6.3","2.5","0.7","0.6","0.5","0.6","8.8","7","9.5","4","109.8","113.9"
"203","Isaiah Mobley","Cle","F","23.5","9","3.4","14.8","0","0","0","7","0.571","3","0.333","0.55","0.55","1.2","1.3","0","0.1","0.1","0","2.6","1.2","2.6","0","",""
"204","Isaiah Roby","San","F","25.1","42","11.3","17.8","16.6","41","0.488","95","0.516","60","0.3","0.49","0.497","4.1","2.5","0.9","0.4","0.2","0.7","6.6","5","7.5","7.4","96.9","109.6"
"205","Isaiah Stewart","Det","F-C","21.8","50","28.3","17.2","13.4","149","0.738","236","0.542","205","0.327","0.518","0.56","11.3","8.1","1.4","0.4","0.7","1.4","19.4","12.7","20.8","7.1","113.7","110.4"
"206","Isaiah Todd","Was","F","21.4","4","3.2","13.9","0","0","0","1","1","3","0","0.25","0.25","0.5","0","0","0","0","0","0.5","0.5","0.5","0","",""
"207","Ish Smith","Den","G","34.7","36","9","18.8","27.3","2","0.5","95","0.442","6","0.333","0.446","0.447","2.5","1.3","2.1","0.2","0.2","1.1","3.8","4.6","5.9","8.4","90.2","109.6"
"208","Ish Wainright","Pho","F","28.5","52","15.4","12.2","9.6","27","0.852","49","0.49","148","0.345","0.51","0.536","4.3","2.3","1","0.7","0.3","0.4","6.6","5.3","7.6","5.6","116.5","103.1"
"209","Ivica Zubac","Lac","C","26","64","29.1","14.3","20.2","197","0.711","416","0.63","2","0","0.627","0.658","10.4","10.1","1.1","0.4","1.3","1.7","20.5","11.4","21.5","6.7","125.7","104.9"
"210","Ja Morant","Mem","G","23.6","53","32.5","35.4","14.1","453","0.744","825","0.512","269","0.316","0.502","0.555","27.1","6","8.2","1.1","0.2","3.4","33.1","35.3","41.3","13.5","114.5","108.8"
"211","Jabari Smith Jr.","Hou","F","19.8","67","30.5","18.4","11.4","173","0.775","391","0.486","344","0.311","0.477","0.515","12.5","7.1","1.3","0.5","0.9","1.4","19.6","13.7","20.8","6.4","105.9","111.1"
"212","Jabari Walker","Por","F","20.6","46","8.7","15.2","15","31","0.742","78","0.5","29","0.241","0.463","0.506","2.7","2","0.5","0.1","0.2","0.4","4.7","3.1","5.1","6.4","109.1","110.6"
"213","Jack White","Den","F","25.6","16","3.2","15.6","5.8","3","0.667","8","0.5","8","0.375","0.531","0.548","1.2","0.6","0.2","0.1","0.1","0.1","1.8","1.4","1.9","6.6","",""
"214","Jaden Hardy","Dal","G","20.7","37","13.8","26.5","13","69","0.841","126","0.46","107","0.364","0.5","0.552","7.9","1.6","1.1","0.3","0.1","0.9","9.5","8.9","10.5","7","104","110.4"
"215","Jaden Ivey","Det","G","21.1","63","30.3","24.9","19.1","307","0.726","522","0.454","274","0.332","0.469","0.521","15.4","3.9","4.9","0.9","0.3","3","19.3","20.3","24.2","8.8","102.7","111.7"
"216","Jaden McDaniels","Min","F","22.5","68","30.9","15.4","13.7","122","0.738","374","0.604","232","0.384","0.593","0.613","11.9","3.9","2","0.9","1","1.4","15.8","13.9","17.8","5.9","116.4","107.9"
"217","Jaden Springer","Phi","G","20.5","9","4","21.8","6.1","4","0.75","14","0.571","1","0","0.533","0.567","2.1","0.9","0.3","0.6","0.2","0.1","3","2.4","3.3","8.3","128","83.6"
"218","Jae Crowder","Mil","F","32.7","11","18.7","11.2","7.9","11","0.818","13","0.692","33","0.394","0.62","0.649","6","4.2","1.4","0.5","0.4","0.4","10.2","7.4","11.5","7","138.6","105.4"
"219","Jae'Sean Tate","Hou","F","27.4","30","21.8","19","16.6","69","0.725","179","0.536","46","0.283","0.513","0.55","9.4","3.9","2.7","0.6","0.2","1.5","13.3","12","15.9","8.5","111.8","105.6"
"220","Jake LaRavia","Mem","F","21.4","32","12.1","11.8","16.8","9","0.778","24","0.542","65","0.338","0.517","0.532","3.1","1.9","0.7","0.4","0.1","0.6","5","3.8","5.6","5.3","104.5","102.6"
"221","Jakob Poeltl","San","C","27.4","46","26.1","18.7","19.8","129","0.605","387","0.618","1","0","0.616","0.625","12.1","9","3.1","0.8","1.1","2.1","21.1","15.2","24.2","10.7","119.3","110.4"
"222","Jakob Poeltl","Tor","C","27.4","14","28.4","18","10.3","53","0.623","130","0.669","0","0","0.669","0.675","14.8","9.5","2.8","1.6","1.6","1.1","24.3","17.6","27.1","10.3","138.3","102.8"
"223","Jalen Brunson","Nyk","G","26.5","62","34.9","27","10.3","365","0.833","788","0.514","290","0.414","0.543","0.595","23.8","3.6","6.1","0.9","0.2","2","27.4","29.9","33.5","9.2","124.9","111.8"
"224","Jalen Duren","Det","C","19.3","57","24.8","13.9","17.9","128","0.617","333","0.637","2","0","0.633","0.643","8.8","8.9","1.1","0.6","0.9","1.3","17.7","10","18.8","7.1","126.5","107.8"
"225","Jalen Green","Hou","G","21.1","64","33.9","28.3","13.3","369","0.78","667","0.466","478","0.333","0.48","0.53","21.7","3.9","3.6","0.8","0.3","2.8","25.6","25.3","29.2","7.9","106.8","118.2"
"226","Jalen Johnson","Atl","F","21.2","63","14.7","15.2","10.2","66","0.652","184","0.571","89","0.292","0.527","0.548","5.3","4","1","0.5","0.4","0.5","9.2","6.3","10.3","7.5","114.6","105.9"
"227","Jalen McDaniels","Cha","F-C","25.1","56","26.7","17.4","13.8","104","0.846","292","0.534","202","0.322","0.513","0.551","10.6","4.8","2","1.2","0.5","1.4","15.4","12.6","17.4","7","106.5","106.9"
"228","Jalen McDaniels","Phi","F-C","25.1","13","15.9","15.9","11","25","0.8","45","0.556","11","0.273","0.527","0.59","6.1","3.5","0.7","0.5","0","0.5","9.6","6.8","10.3","6.2","121.8","97.2"
"229","Jalen Smith","Ind","F-C","23","58","18.5","21.3","12.8","118","0.763","258","0.589","170","0.276","0.52","0.557","9.2","5.7","1","0.3","0.9","1.1","15","10.2","15.9","8.1","112","107"
"230","Jalen Suggs","Orl","G","21.8","45","23.7","20.2","18","101","0.703","207","0.502","167","0.311","0.487","0.52","9.7","3","3.2","1.3","0.5","1.8","12.6","12.8","15.8","7.6","104.2","107"
"231","Jalen Williams","Okc","G-F","21.9","64","29.8","18.1","13.3","160","0.788","481","0.584","175","0.349","0.568","0.6","13.6","4.4","3.2","1.4","0.5","1.6","18","16.8","21.2","7.7","118.2","108.9"
"232","Jamal Cain","Mia","F","24","15","12.4","14.5","7.4","16","0.75","38","0.632","12","0.167","0.54","0.579","4.4","2.6","0.6","0.5","0","0.3","7","5","7.6","6.1","123.6","105.7"
"233","Jamal Murray","Den","G","26.1","56","32.9","26.4","12","196","0.827","541","0.492","370","0.381","0.524","0.56","19.9","4","6.1","1.1","0.2","2.2","23.9","26","30","9.6","114.8","114.2"
"234","Jamaree Bouyea","Mia","G","23.7","4","16.3","12.2","23.2","2","0.5","8","0.5","5","0.4","0.538","0.54","3.8","1.3","1","1","0.5","1","5","4.8","6","4.2","93.1","107"
"235","Jamaree Bouyea","Was","G","23.7","1","5.5","7.9","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","99"
"236","James Bouknight","Cha","G","22.5","26","13.6","17.9","13.4","22","0.682","58","0.414","64","0.25","0.393","0.421","4.3","2","1.1","0.5","0.2","0.7","6.2","5.3","7.3","6.2","86.2","110.5"
"237","James Harden","Phi","G","33.6","52","36.8","25.4","18.6","345","0.867","380","0.503","383","0.389","0.543","0.617","21.7","6.3","10.8","1.2","0.5","3.3","28","32.5","38.8","12.4","125.2","110"
"238","James Johnson","Ind","F","36.1","14","8.9","14.5","12.4","6","0.667","23","0.478","12","0.25","0.443","0.465","2.5","1.5","0.7","0.3","0.4","0.4","4","3.2","4.7","6.2","96.3","96.9"
"239","James Wiseman","Det","C","22","13","26.4","21.6","14.8","29","0.655","127","0.575","11","0.182","0.551","0.567","13.2","9","0.7","0.2","1.1","1.8","22.2","13.8","22.8","6.6","106.7","107.8"
"240","James Wiseman","Gol","C","22","21","12.5","20","12.9","38","0.684","92","0.63","2","0.5","0.633","0.655","6.9","3.5","0.7","0.1","0.3","0.7","10.4","7.6","11","8.2","123.3","101.7"
"241","JaMychal Green","Gol","F-C","32.7","51","14.4","17.8","18.3","64","0.766","127","0.661","105","0.381","0.621","0.648","6.6","3.7","0.9","0.5","0.4","1","10.3","7.5","11.2","7.8","118.3","102.8"
"242","Jared Butler","Okc","G","22.6","2","9.6","13","33.3","0","0","2","0.5","2","0.5","0.625","0.625","2.5","0.5","2","1.5","0","1","3","4.5","5","5.7","104","96.9"
"243","Jared Rhoden","Det","G","23.6","6","8.5","12.4","0","2","1","9","0.556","5","0.2","0.464","0.504","2.5","2","0","0.2","0","0","4.5","2.5","4.5","0","123.7","112.2"
"244","Jaren Jackson Jr.","Mem","F-C","23.5","52","28.1","23.5","11.4","233","0.781","413","0.576","232","0.341","0.553","0.599","17.2","6.6","0.8","1.1","3.1","1.6","23.8","18.1","24.7","6.4","115.9","99.5"
"245","Jarred Vanderbilt","Uta","F","24","52","24.1","14.1","17.9","102","0.657","254","0.606","57","0.333","0.587","0.607","8.3","7.8","2.7","1","0.3","1.3","16.2","11","18.9","9.3","124.9","105"
"246","Jarred Vanderbilt","Lal","F","24","15","25.3","13.4","17.4","26","0.808","70","0.614","20","0.2","0.544","0.587","7.9","7.5","2.1","1.5","0.2","1.3","15.5","10.1","17.6","7.9","118.8","103.2"
"247","Jarrett Allen","Cle","C","24.9","62","33","16.4","13.2","202","0.728","563","0.657","9","0.111","0.649","0.673","14.4","9.8","1.7","0.8","1.2","1.4","24.2","16","25.8","7.5","132.6","104.6"
"248","Jarrett Culver","Atl","G-F","24.1","10","13.7","17.2","13.9","13","0.692","31","0.516","12","0.083","0.407","0.452","4.4","3.8","0.6","0.6","0.2","0.7","8.2","5","8.8","6.3","96.3","105.9"
"249","Jason Preston","Lac","G","23.6","13","9.4","18.6","19.6","2","0","23","0.565","18","0.278","0.5","0.489","3.2","1.7","2.1","0.2","0","0.8","4.8","5.2","6.9","9.6","102.4","111.5"
"250","JaVale McGee","Dal","C-F","35.2","37","8","23.5","23","34","0.588","103","0.621","4","0.25","0.612","0.619","4.1","2.5","0.3","0.1","0.6","0.9","6.6","4.4","6.9","7.3","105.4","100.2"
"251","Javonte Green","Chi","G-F","29.7","28","16","14","16.1","43","0.674","70","0.686","34","0.382","0.649","0.667","5.9","2.9","0.8","0.8","0.7","0.7","8.8","6.7","9.6","6","125.2","104"
"252","Jaxson Hayes","Nor","C-F","22.8","42","14.1","15.6","16.6","83","0.699","123","0.667","27","0.111","0.577","0.619","5.5","3","0.8","0.5","0.5","0.7","8.5","6.3","9.4","6.7","119.7","104.2"
"253","Jay Huff","Was","C","25.6","1","3.3","26.5","100","0","0","0","0","0","0","","","0","0","0","0","0","2","0","0","0","0","",""
"254","Jaylen Brown","Bos","G-F","26.4","59","36.2","31.3","12.7","320","0.772","777","0.575","432","0.338","0.551","0.585","26.8","6.9","3.3","1.2","0.4","3","33.7","30.1","37","9.4","110.3","106.7"
"255","Jaylen Nowell","Min","G","23.7","62","19.5","24.9","9.4","97","0.784","374","0.537","224","0.295","0.502","0.528","10.9","2.6","2","0.6","0.1","1","13.5","12.9","15.6","7.9","106.2","111"
"256","Jaylin Williams","Okc","F","20.7","38","17.8","13.9","12.9","37","0.73","103","0.456","79","0.418","0.53","0.555","5.8","4.8","1.4","0.5","0.3","0.7","10.6","7.2","12","7.6","114.4","101.6"
"257","Jayson Tatum","Bos","F-G","25","66","37.4","32.9","12.2","562","0.861","788","0.548","624","0.345","0.534","0.601","30.2","9","4.7","1","0.7","3","39.2","34.9","43.9","11.6","117.7","107.5"
"258","JD Davison","Bos","G","20.5","8","2.3","28.1","8.3","0","0","8","0.375","3","0","0.273","0.273","0.8","0.6","0.4","0.3","0","0.1","1.4","1.1","1.8","10","",""
"259","Jeff Dowtin Jr.","Tor","G","25.9","18","8.9","13.3","10.3","4","0.75","32","0.5","11","0.273","0.477","0.492","2.4","0.9","0.9","0.2","0.1","0.3","3.4","3.4","4.3","5.6","110.3","114"
"260","Jeff Green","Den","F","36.6","46","19.3","17.2","13.2","90","0.722","192","0.599","78","0.256","0.537","0.573","7.7","2.7","1.2","0.4","0.3","0.9","10.4","8.9","11.5","6.1","112","109.6"
"261","Jerami Grant","Por","F","29","63","35.6","22.9","11.3","342","0.813","554","0.523","359","0.401","0.554","0.606","20.5","4.5","2.4","0.8","0.8","1.8","25","22.9","27.3","6.8","117.9","115.1"
"262","Jeremiah Robinson-Earl","Okc","F","22.4","35","19.8","14.7","7.4","38","0.816","115","0.557","96","0.323","0.524","0.553","7.2","4.5","1","0.6","0.3","0.5","11.7","8.2","12.7","6.4","122.2","109.3"
"263","Jeremy Sochan","San","F","19.8","55","26.1","19.8","15.1","114","0.702","409","0.516","129","0.256","0.484","0.511","10.9","5.3","2.5","0.8","0.4","1.7","16.2","13.5","18.7","8","103.1","113.2"
