"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"529","Terrence Ross","Orl","G-F","32.1","42","22.5","15.7","11","20","0.75","139","0.489","160","0.381","0.533","0.543","8","2","1.3","0.6","0.2","0.9","10","9.2","11.3","4.9","104.5","113.6"
"530","Terrence Ross","Pho","G-F","32.1","9","18.5","19.1","4.1","6","0.833","25","0.56","44","0.386","0.572","0.586","9.3","2.4","1.7","0.8","0","0.3","11.8","11","13.4","7.3","124.3","100.3"
"531","Terry Rozier","Cha","G","29","61","35.7","26.8","10.1","213","0.803","669","0.481","496","0.327","0.485","0.517","21.3","4.2","5","1.2","0.3","2.1","25.5","26.4","30.5","8.6","106","114.9"
"532","Terry Taylor","Ind","G","23.5","26","8.8","14.2","12.1","7","0.714","47","0.553","18","0.222","0.492","0.507","2.7","1.5","0.4","0.1","0.2","0.3","4.2","3","4.5","5.3","108.7","112.9"
"533","Terry Taylor","Chi","G","23.5","2","2.9","15.4","0","0","0","2","1","0","0","1","1","2","0","0","0","0","0","2","2","2","0","",""
"534","Thaddeus Young","Tor","F","34.7","54","14.7","13.5","17.5","26","0.692","164","0.622","34","0.176","0.561","0.573","4.4","3.1","1.4","1","0.1","0.8","7.5","5.8","8.9","7.3","116.7","104.6"
"535","Thanasis Antetokounmpo","Mil","F","30.7","28","4","12.6","26.5","8","0.5","17","0.353","5","0","0.273","0.313","0.6","1","0.1","0.1","0.1","0.3","1.6","0.7","1.7","3.9","72.4","101.7"
"536","Theo Maledon","Cha","G","21.8","36","16.1","15.6","18.2","56","0.875","94","0.468","63","0.333","0.481","0.551","5.6","2.4","2.4","0.8","0.2","1","7.9","7.9","10.3","7.9","110.3","111.8"
"537","Theo Pinson","Dal","G-F","27.4","36","6.8","13.9","12.8","11","0.818","17","0.294","44","0.341","0.451","0.486","1.8","1.2","0.8","0.1","0","0.3","2.9","2.6","3.8","7.1","110.5","109"
"538","Thomas Bryant","Den","C-F","25.6","13","11.9","17.5","14.7","18","0.722","41","0.463","5","0.4","0.478","0.529","4.4","3.6","0.1","0.2","0.4","0.6","8","4.5","8.1","3.9","107.6","103.2"
"539","Thomas Bryant","Lal","C-F","25.6","41","21.3","18.2","8.5","108","0.741","251","0.697","50","0.44","0.691","0.712","12.1","6.8","0.7","0.3","0.6","0.7","18.9","12.8","19.6","7.3","138.2","105.4"
"540","Tim Hardaway Jr.","Dal","G-F","31","64","30.2","20.9","6.7","148","0.764","269","0.416","502","0.378","0.515","0.542","14.2","3.6","1.8","0.7","0.2","0.9","17.8","16","19.5","6","108.4","114.2"
"541","Tobias Harris","Phi","F","30.7","64","32.9","18.5","9.3","107","0.869","462","0.563","286","0.381","0.566","0.591","14.7","5.8","2.4","1","0.5","1.2","20.5","17.1","22.9","7.2","117.1","109.3"
"542","Tony Bradley","Chi","C-F","25.2","12","2.8","19.4","7.4","4","1","7","0.429","5","0.6","0.625","0.69","1.6","0.9","0.1","0.1","0.1","0.1","2.5","1.7","2.6","7.5","",""
"543","Torrey Craig","Pho","F","32.2","67","25.3","12.8","13.4","41","0.707","206","0.5","219","0.393","0.546","0.556","7.4","5.6","1.5","0.7","0.7","1","12.9","8.9","14.5","6.3","115","107.2"
"544","Trae Young","Atl","G","24.5","63","35","33.2","17.1","539","0.891","826","0.485","414","0.338","0.493","0.576","27","3.1","10.1","1.1","0.1","4.1","30.1","37.1","40.2","10.8","116.6","117"
"545","Tre Jones","San","G","23.2","57","29.1","19.6","13.3","142","0.873","489","0.491","137","0.263","0.47","0.517","12.5","3.5","6.2","1.3","0.1","1.7","16","18.7","22.2","8.9","113.2","118.4"
"546","Tre Mann","Okc","G","22.1","59","18.2","20.7","10.7","50","0.74","220","0.468","238","0.319","0.474","0.491","8","2.3","1.7","0.6","0.2","0.9","10.3","9.7","12","6.9","100.4","110.1"
"547","Trendon Watford","Por","F","22.4","53","18.4","14.5","20.3","73","0.712","183","0.59","49","0.429","0.601","0.627","6.2","3.7","2","0.5","0.1","1.1","10","8.3","12","7.8","118.4","108.9"
"548","Trent Forrest","Atl","G","24.8","18","13.3","10.8","16.6","3","0.667","48","0.5","2","0","0.48","0.487","2.8","1.6","1.7","0.3","0.1","0.6","4.4","4.5","6.1","5.9","105.1","113.8"
"549","Trevelin Queen","Ind","G","26.1","7","10","23","19.2","5","1","14","0.357","15","0.133","0.276","0.337","3","2.4","0.9","0.3","0.7","1","5.4","3.9","6.3","7.5","78.9","115.5"
"550","Trevor Hudgins","Hou","G","24","5","5.7","16.6","9.6","3","1","1","0","8","0.25","0.333","0.436","1.8","0","0.6","0","0","0.2","1.8","2.4","2.4","0","102.5","124.2"
